STARTUP;STARTUP WEBSITE;IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION
ADLPerformance;https://www.adlperformance.com/fr;169;Stage Développeur Back End (H/F);Stage (4 à 6 mois);;Bac +2;> 1 an;Télétravail ponctuel autorisé;"Vous serez accueilli dans une ambiance dynamique et motivante, par une équipe jeune et experte dans chacun de ses domaines, diversifiée, où les différents métiers du digital se côtoient (marketing, graphisme, achats et techs) Le partage, la proximité et le challenge étant des valeurs importantes à nos yeux, chaque membre de l’équipe participe à une atmosphère de travail privilégiant l’entraide, favorisant la créativité et générant ainsi l’amélioration continue des compétences.

Missions :

Vous valorisez une première expérience en développement et avez bonne connaissance des concepts REST, POO, MVC couplés à un développement sous Symfony (4+) avec des projets API-Centric mais également une expérience dans le développement de projet avec le CMS Wordpress.

Rattaché(e) à la direction technique, vos missions porteront sur :

● Le développement back-end dans l’écosystème LEOO (évolutions, optimisations, corrections)
● La rédaction, mise en place et maintien de tests unitaires et fonctionnels au sein d’écosystèmes complexes
● La participation à l’innovation et la recherche permettant une amélioration technique de l’écosystème LEOO
● Le déploiement des développements ainsi que la responsabilité quant à la qualité de vos livraisons"
ADLPerformance;https://www.adlperformance.com/fr;170;Consultant(e) Data Analyst/Science -Paris - CDI ;CDI ;;Bac +5 / Master;> 2 ans;Télétravail ponctuel autorisé;"Dans le cadre de son développement, Converteo recrute un(e) Data Analyst / Data Scientist qui interviendra sur des projets clients d’analyse de données. Voici quelques exemples :

Segmentation clients / produits / magasins
Analyse business
Scoring
Prédiction des ventes
Aide à la prise de décision locale

Après formation interne à notre méthodologie et notre offre client, vous assurez, en autonomie, la construction et la mise à disposition des livrables sous la supervision d’un Manager et en collaboration avec des consultants métier.

Soucieux(se) des enjeux business de nos clients, vos principales missions seront les suivantes :

1/ Préparation et traitement des données

Cartographier et auditer les données existantes
Analyser la qualité d’un set de données et proposer des solutions de nettoyage et de redressement
Réconcilier différentes sources de données pour répondre aux questions métiers

2/ Analyse et modélisation

Traduire une question métier en un processus d’exploration des données
Réaliser des analyses ad-hoc pour répondre à des problématiques business ponctuelles
Prendre du recul sur ses propres résultats et leur signification métier (impact de l’ensemble des indicateurs statistiques classiques - moyenne, variance…)
Concevoir des tableaux de bord, reportings et restitutions d’analyse adaptés aux divers interlocuteurs métier
Documenter les analyses réalisées et assurer la traçabilité des résultats obtenus
Implémenter des modèles algorithmiques avancés au service des analyses (segmentation, scoring, économétrie…)
Structurer et réaliser les recettes fonctionnelles et techniques dans le cadre des projets

3/ Cadrage et gestion de projet data

Préparer et animer des ateliers avec des interlocuteurs métiers et SI : recueil du besoin, formalisation de l’expression de besoin, définition des indicateurs clés
Identifier et comprendre la structure des sources de données, valider la pertinence et la qualité des données
Gérer le déroulement d’un projet data de bout en bout"
Manutan;http://www.manutan.fr/;171;Gestionnaire Data Management / Data Manager H/F;CDI ;;Bac +3;> 2 ans;;"Au sein du siège International de Manutan, vous intégrez le Département de l’Offre Groupe et serez rattaché(e) à l’équipe de production Master Data Management (MDM) Produit.

Le MDM (ou Gestion des Données de Référence) est la discipline visant à garantir une vision globale et fiable ainsi qu’une bonne qualité des données métiers au coeur des échanges et processus transverses de l’entreprise. La spécialisation Produit au sein de cette discipline s’inscrit dans la verticalisation de l’approche MDM à la gestion des catalogues produits de l’entreprise ou PIM (pour Product Information Management), afin de garantir la gestion et la publication des offres produits à destination des support Web ou Print (catalogue papier).

Responsabilités et missions du poste

En tant que Gestionnaire data management, vous serez le point d’entrée des demandes liées à la collecte et la maintenance des données de l’offre produit afin de respecter nos engagements en termes de délai et de qualité envers nos clients internes.

À ce titre, vous serez amené(e) à :

Collecter et s’assurer de la fiabilité des données recueillies auprès de nos fournisseurs pour alimenter notre base de données
Centraliser et effectuer les demandes de maintenance des données produits dans le PIM suite aux remontées transversales de nos différents interlocuteurs
Effectuer la validation de certaines étapes de contrôle MDM dans nos outils afin d’assurer le bon déroulement des processus de référencement et de maintenance
Être support au quotidien des différentes équipes (Marketing de l’Offre, Achats, filiales, etc.)
Identifier et remonter les sources d’anomalies de nos processus et être force de proposition dans une logique d’amélioration continue de vos activités au quotidien."
Manutan;http://www.manutan.fr/;172;Intégrateur de données / Data Integrator (H/F);CDI ;;Bac +5 / Master;> 7 ans;;"Dans le cadre du développement de notre offre, axe stratégique chez Manutan, nous créons un poste de Data Integrator Offer Extension. Au sein du siège International de Manutan, vous intégrez la Direction Business Technology et serez rattaché(e) à l’équipe Extension de l’Offre au sein du Département Master Data Management (MDM) Produit. En lien avec les enjeux du Marketing Produit, votre objectif est de contribuer au développement massif des offres de nos fournisseurs actuels ou futurs sur notre site. Ce poste transverse vous amènera à collaborer activement en synergie avec les Category Managers, Chefs de Produit, Acheteurs, e-Merchandising, Supply Chain et le Marketing Client.

Responsabilités et missions du posteEn tant que Data Integrator, vous serez garant(e) des volumes de références publiées et de la qualité des données. L’équipe dont vous ferez partie est composée actuellement de 5 Data Integrators, en charge du référencement massif des offres, avec qui vous travaillerez en étroite collaboration.

Vous serez en charge du référencement des offres et ainsi vous devrez :

A partir de la Roadmap, gérer les intégrations des catalogues de nos fournisseurs au format Manutan :

o Respect des fondamentaux de publication web et de la qualité des informations

o Respect de la charte e-Merchandising

o Respect des délais

Assurer des contacts réguliers avec les fournisseurs pour la collecte, le transfert et la vérification des données produits et logistiques
Assurer le contrôle et la transformation des données avant intégration et assurer les correctifs s’il y a lieu de manière proactive
Assurer le suivi de chaque dossier fournisseur en mode projet et en assurer le reporting sur les différentes étapes d’intégration auprès des équipes Manutan
Assister le fournisseur de l’onboarding jusqu’aux premières ventes."
Manutan;http://www.manutan.fr/;173;Alternant Analyste Qualité de Données (H/F);CDD / Temporaire (12 mois);;Bac +5 / Master;> 1 an;;"Au sein du siège International de Manutan, vous intégrez le Département Business Technology et serez rattaché(e) à l’équipe Master Data Management (MDM).

Le MDM (ou Gestion des Données de Référence) est la discipline visant à garantir une vision globale et fiable ainsi qu’une bonne qualité des données métiers au coeur des échanges et processus transverses de l’entreprise.

Dans le cadre de la mise en oeuvre d’une stratégie data-driven, Manutan souhaite dorénavant mettre au coeur de ses processus la qualité de données essentielle à l’exécution des opérations au service de l’expérience client et à des fins de besoins analytiques. Dans ce contexte, Manutan renforce son expertise sur la qualité et la gouvernance des données de référence, et créé un pôle de gouvernance et de qualité de données.

Responsabilités et missions du poste :

À ce titre, vous serez amené(e) à :

Participer au développement et à la mise en oeuvre d’une offre de Data Quality au service du MDM et de l’entreprise, en vous impliquant dans les tâches suivantes :

\>Construire et faire évoluer les outils de reporting et monitoring permettant l’analyse et le suivi de la qualité d’une source de données ou d’un référentiel selon les problématiques identifiées.

Extraire des données brutes à des fins d’analyses ultérieures et réaliser les extractions et transformations de donnée ad’hoc.

\>Mener les analyses à partir de différentes sources de données, et en déduire des recommandations en collaboration avec le ou les business process owner(s).

Restituer les résultats auprès des différentes équipes, en déduire les plans d’action métiers et/ou techniques.

Dans le cadre du déploiement d’un outil de profiling de données vous participez également à :

la conception de modèles/solutions permettant de répondre aux besoins métiers et leurs règles de gestion.
la documentation des solutions fonctionnelles proposées.
l’accompagnement à l’implémentation, test, déploiement et maintenance des solutions techniques réalisées.
du support/évolution/correction des sujets reportés par les utilisateurs."
Avis Vérifiés (Net Reviews);http://www.avis-verifies.com/;174;Full Stack Platform Developer (F/H);CDI ;;Bac +5 / Master;> 5 ans;Télétravail ponctuel autorisé;"Ton rôle :

En tant que développeur, tu es au coeur de Net Reviews. Dans une société SaaS comme la nôtre, l’équipe plateforme est le moteur principal du Business. Ton travail aura un impact direct sur les clients finaux et ton goût du challenge permettra à l’ensemble du groupe de se développer !

Tes missions :

Tu travailleras au sein de l’équipe plateforme et auprès du CTO Jean-Philippe sur notre solution de gestion des avis entièrement développée sur mesure. Notre cœur de métier oblige une gestion performante de la charge serveur.
Tu travailleras sur un environnement ayant un haut niveau de technicité (PHP Symfony, Aurora, AWS, DocumentDB, JS, Talend, ELK, Jira, GitLab, Comprehend, Quicksight,…).
Nous proposons nos services au travers d’une plateforme et de 2 intégrations principales : 40 Modules d’intégration aux grandes solutions e-commerce ( dont Shopify, Magento, …) et une plateforme d’intégration iPaaS (transfert de fichiers, API, …)."
8SEC;https://www.8sec.games/;175;Game Developer;CDI ;;;;;"Your role ?

Materialize game ideas into full hit games bringing fun to millions of players.

You will:

Create and design hit games with your own ideas
Maintain the live games and debug and deploy fixes and enhancements.
Deconstruct and analyse mobile games mechanics in order to implement them
Think about new gameplays or functionalities 

You are highly skilled in C# and you master the Unity work environment
You have a good understanding of the hyper casual gaming market and you know the main hyper-casual game mechanics
You are naturally curious and interested in constantly learning new things

First experience in creating casual games
Fluent in english"
8SEC;https://www.8sec.games/;176;Expert Game Designer;CDI ;;> 1 an;;;"Your role?

Help the team by finding then polishing up rough ideas into hit games played by millions of people.

You will:

Bring new trendy game concepts and refine the team ideas (game rules, UX, UI, art style)
Help developers and artists in your squad to release games which are fun, clean and eye-candy
Deconstruct and analyse mobile games mechanics in order to improve your own squad games

Perfect knowledge of the hyper casual game market
Experience in the design of several hyper-casual games
Self-directed and able to perform effectively both autonomously and in a team
Ultra creative mindset with a strong appeal for data-driven results
You are naturally curious and interested in constantly learning new things

Knowledge of C# and a first professional experience on Unity
Previous work on a successful mobile game
Fluent in english"
8SEC;https://www.8sec.games/;177;Product Manager;CDI ;;> 1 an;;;"Your Role

Your main goal? 

Lead your game development squad to help them make fun and polished hit games, played by millions of players!

You will:

Lead a squad of developers, designer and artist, and define individual and team growth goals  
Define guidelines, best practices, workflows and automation procedures in order to optimize game creation process
Help your team improve game metrics and think about new gameplays or functionalities 

You have minimum 1y of experience managing people and a strong knowledge of the hypercasual gaming industry
You have an excellent ability to plan and prioritise your work as well as to drive decisions ; you like taking initiatives. 
You have strong communication and motivational skills

Experience on Unity
Fluent in English"
Beanstock;https://beanstock.fr/;178;Data Analyst;CDI ;;;;;"Beanstock a pour vocation de démocratiser et de digitaliser l’investissement locatif. Pour cela, nous reposons sur une meilleure exploitation des données et des algorithmes puissants qui permettent à nos équipes de tripler leur productivité. Ton rôle consistera à t’assurer que nous collectons les bonnes données et les exploitons au mieux pour répondre à nos problématiques business et optimiser notre produit :

Création, amélioration et déploiement des pipelines d’acquisition de données automatisés
Construction de visualisations de données pertinentes et attractives
Développement et industrialisation d’algorithmes d’estimation
Analyses exploratoires pour améliorer le produit, les process et l’expérience investisseur"
Per Angusta;https://www.per-angusta.com/;179;[EN] Senior Web Developer;CDI ;Salaire entre 45K € et 60K €;;;Télétravail total possible;"As a senior backend Web developer, you are responsible for the maintenance and the development of our multi-tenancy SaaS solutions as a whole: You develop, review and lead teams and projects, in constant interaction with the CTO, the Product Owner and the stakeholders.

Your missions
Develop new features and maintain existing ones
Enforce the test suite
Debug and apply corrective changes
Optimize the code to make it more effective
Take decisions related to the technical debt management
Help support to give our clients appropriate answers
Build tools and processes to support the growth of the business and the teams
Your responsibilities

You report directly to the CTO and have a high level of autonomy. You are the driving force behind developments and technical choices.

You share skills and knowledge with the other developers, you lead them and review their code with pedagogy. You are able to find vulnerabilities in code you don’t own and you are able to take effective decisions about managing technical debt when it’s relevant.

You make sure the test suite is green and its coverage maintained, you deploy in all environments from staging to production on a daily-basis.

You are responsible for the efficiency of the development and the solutions and you are able to build fast developments like proofs of concept but also final products to quickly create value and support the sales."
Per Angusta;https://www.per-angusta.com/;180;Ingénieur DevSecOps;CDI ;;;;Télétravail partiel possible;"En tant qu’ingénieur DevSecOps, vous êtes en charge du développement et de la maintenance de l’infrastructure de nos solutions SaaS multi-clients. Vous implémentez nos outils et process, examinez l’infrastructure existante et supportez notre croissance en apportant des solutions techniques adaptées.

Vos missions
Maintenir et développer l’infrastructure existante
Contrôler et appliquer des correctifs
Renforcer notre intégration continue
Augmenter nos standards de sécurité
Développer des outils automatisés et des process
Vos responsabilités

Vous reportez directement au Head of Technology et avez un haut niveau d’autonomie. Vous êtes force de proposition dans les choix techniques pour la gestion de la sécurité et de l’architecture.

Vous vous assurez que le fonctionnement des systèmes est conforme à nos engagements contractuels (SLA). Vous maintenez à jour et supervisez l’infrastructure et implémentez des outils et des process pour assurer la stabilité et l’automatisation des tâches. Vous aidez les développeurs à être plus efficaces en leur apportant les outils adaptés.

Vous partagez vos compétences et votre savoir avec vos collaborateurs, vous participez aux revues de code afin de suivre les évolutions de la base de code.

Vous êtes responsable de la performance de l’infrastructure dans son ensemble (Serveurs, bases de données, CDNs, domaines, APIs, etc)."
Per Angusta;https://www.per-angusta.com/;181;[FR] Développeur Web Sénior;CDI ;Salaire entre 45K € et 60K €;;;Télétravail partiel possible;"Vos missions
Développer de nouvelles fonctionnalités et maintenir l’existant
Renforcer la suite de tests
Déboguer et appliquer des correctifs
Optimiser le code pour le rendre plus performant
Prendre des décisions quant à la gestion de la dette technique
Aider le support pour apporter des réponses appropriées à nos clients
Créer des outils et implémenter des process pour supporter la croissance des équipes et des ventes
Vos responsabilités

Vous reportez directement au Head of Technology avec un haut niveau d’autonomie. Vous êtes moteur dans les choix de développement et des solutions techniques.

Vous transmettez vos compétences et votre savoir aux autres développeurs, vous dirigez l’équipe et procédez à des revues de code avec pédagogie. Vous êtes capable de déceler des failles dans du code qui ne vous appartient pas et vous êtes capable de prendre des décisions adaptées quant à la gestion de la dette technique lorsque cela est pertinent.

Vous vous assurez que la suite de tests est verte et que sa couverture est maintenue, vous déployez au quotidien dans tous les environnements jusqu’à la production.

Vous êtes responsable de la performance des développements et des solutions et vous êtes capable d’implémenter rapidement des POCs et des produits finaux pour créer de la valeur aux produits et supporter les ventes."
Per Angusta;https://www.per-angusta.com/;182;Développeur Web Frontend;CDI ;;;;Télétravail partiel possible;"En tant que développeur Web Frontend, vous êtes responsable de l’UX et de l’UI de nos solutions. Vous développez avec le souci de l’utilisateur, vous interagissez en continu avec les développeurs backend et vous comprenez leurs travaux. Vous maintenez également les fonctionnalités existantes dans le respect de nos conventions.

Vous avez un oeil critique sur les frameworks « à la mode » et les utilisez avec parsimonie et intelligence.

Vos missions
Développer le « frontend » de nos solutions
Maintenir et renforcer nos tests End-to-End
Déboguer et appliquer des correctifs
Aider le support afin d’apporter les réponses appropriées
Suivre l’évolution des standards Web
Travailler en collaboration étroite avec les développeurs « backend »
Vos responsabilités

Vous reportez au Head of Technology et avez un haut niveau d’autonomie dans les développements.

Vous êtes revu par les autres développeurs et l’UX Designer et vous appliquez leurs conseils. Vous partagez vos compétences et votre savoir avec les collaborateurs et vous participez également à la revue de leur code (y compris le « backend »).

Vous êtes responsable de la mise à jour de l’interface utilisateur existante et de trouver des solutions adaptées pour ne pas perturber le développement sur une application monolithique.

Vous assurez un bon niveau de couverture de tests et vous suivez les conventions (parce que vous aimez les conventions !)."
Inex Circular;https://sourcing.inex-circular.com/;183;Lead Data Engineer;CDI ;Salaire entre 50 € et 60 €;Bac +5 / Master;> 2 ans;Télétravail partiel possible;"L’équipe Data développe l’infrastructure, les pipelines de données et les outils pour fournir à nos utilisateurs les données environnementales clés dans le développement de leur activité.
Travailler dans l’équipe Data, c’est côtoyer des experts de la donnée talentueux mais aussi interagir constamment avec le Product Owner, les développeurs Front et Ops.

Le Lead Data Engineer a 3 missions principales :

Mettre en place des technologies d’orchestration et de suivi des pipelines
Créer des pipelines de collecte et traitement de données
Recruter et encadrer un Data Engineer Junior
Notre infra :
MongoDB, Maria DB
Python, Airflow, Selenium
GitLab, GitLab CI
Haproxy, Grafana, Docker

Chaque jour, l’équipe imagine et met en place de nouveaux process. La méthode iNex c’est un sprint (Scrum) par semaine à l’aide d’outils collaboratifs de gestion de projets (Asana, GitHub, Slite)
Pour en savoir plus sur les dessous de l’équipe data → par ici.

Ce que l’on fait pour toi :

2 jours de télétravail par semaine
Points de suivi personnalisés tous les deux mois avec les fondateurs
Participation à l’ensemble des meetings de direction d’iNex
Apprentissage de méthodes de travail agiles
Stimulation dans un environnement de start-up au cœur des Batignolles"
Groupe Nexeo ;http://www.nexeo.fr/;184;Ingénieur Quant IT H/F;CDI ;Salaire entre 45K € et 55K €;Bac +5 / Master;> 5 ans;Télétravail ponctuel autorisé;"NEXEO Finance est à la recherche d’un Ingéngieur Quant IT pour l’un de nos clients spécialisé dans le secteur de la Finance, basé à Paris et reconnu dans le monde, pour le renfort de l’équipe IT.

Au sein de l’équipe Quantitative Research & Enginneering comptant 150 personnes et présent dans trois régions avec Paris et Londres comme centre principaux. Vous serez rattachés au Front-Office.

Vos interviendrez donc sur les thématiques suivantes :

Mettre en place une plateforme de gestion des ressources de liquidité et d’automatisation des activités titres
Imaginer, implémenter et mettre en place des solutions aux problèmes complexes des activités de Trading.
Optimiser et automatiser l’usage des titres : Collateral, contrat de prêt-emprunt titre…
Développement et la livraison d’une solution informatique en adéquation avec les besoins, les performances et les qualités industrielles

Environnement technique : C#
Environnement méthodologique : AGILE SCRUM

Nous cherchons des consultants talentueux et ambitieux, prêts à relever ce défi dans un contexte exigent et international (sans oublier la joie de vivre et la bienveillance)."
Groupe Nexeo ;http://www.nexeo.fr/;185;Ingénieur d'étude et de développement C++/Multitreading H/F;CDI ;Salaire entre 45K € et 55K €;Bac +5 / Master;> 5 ans;Télétravail ponctuel autorisé;"NEXEO Finance est à la recherche d’un développeur Fullstack JAVA pour l’un de nos clients spécialisé dans le secteur de la Finance basé à Paris et reconnu dans le monde, pour le renfort de l’équipe IT.

Mission :
Vous serez rattaché au département de l’équipe eTradind Equity Warrant. Vous aurez en charge l’amélioration de la plateforme de contribution sur Warrant et certificats pour les desk ETS et SPS. Vous serez en charge dans en salle de marché de collecter et d’analyser les besoins des traders ETS et SPS. Vous développez les nouvelles fonctionnalités et aurez la maintenance de la plateforme. Vous êtes en charge de la mise en production des nouvelles fonctionnalités. Vous assistez l’équipe Trading Support pour maintenir la stabilité de la plateforme de production.

Environnement technique : C++
Environnement méthodologique : AGILE SCRUM

Nous cherchons des consultants talentueux et ambitieux, prêts à relever ce défi dans un contexte exigent et international (sans oublier la joie de vivre et la bienveillance)."
Groupe Nexeo ;http://www.nexeo.fr/;186;Ingénieur d'étude et de développement PL-SQL H/F;CDI ;Salaire entre 35K € et 42K €;Bac +5 / Master;> 2 ans;Télétravail ponctuel autorisé;"Aujourd’hui, l’un des acteurs majeurs du marché français du crédit à la consommation, NEXEO Finance a été sélectionné pour faire partie des quelques sociétés sollicitées dans la recherche d’un développeur PL/SQL pour leur projet d’évolution d’une application majeure de gestion des risques.

Au sein du département Finances et Risques, vous participerez au développement de l’application gérant l’homologation des nouveaux produits de notre client.

Vous interviendrez donc sur les thématiques suivantes :

Comprendre et analyser les besoins métiers sur plusieurs domaines technico-fonctionnel
Assurer l’adéquation de la solution avec les exigences métiers
Conception de la solution technique
Suivi des mises en environnements depuis l’intégration jusqu’à la production
Mise en place des tests
Création et/ou mise à jour de la documentation applicative
Support et correction des incidents
Environnement technologique : PL/SQL, Control M, ETL Informatica, Oracle, Shell, Atlassian (Confluence, Jira, BitBucket …), Unix, Websphere, VBA
Environnement méthodologique : AGILE SCRUM

Livrables attendus :

Développement technique et maintenance corrective
Conduite de tests unitaires,
Support technique
Préparation et suivi des mises en production.

Nous cherchons des consultants talentueux et ambitieux, prêts à relever ce défi dans un contexte exigent et international (sans oublier la joie de vivre et la bienveillance)."
Groupe Nexeo ;http://www.nexeo.fr/;187;Ingénieur d'étude et développement JAVA Fullstack H/F;CDI ;Salaire entre 45K € et 55K €;Bac +5 / Master;> 5 ans;Télétravail ponctuel autorisé;"NEXEO Finance est à la recherche d’un développeur Fullstack JAVA pour l’un de nos clients spécialisé dans le secteur de la Finance, basé à Paris et reconnu dans le monde, pour le renfort de l’équipe IT.

Vous serez donc là pour rendre l’application plus accessible, plus complète, et plus simple d’utilisation pour tous les clients actuels et à venir.

Au sein de l’équipe Développement, vous serez en charge de développement de nouvelles fonctionnalités, de corriger les anomalies afin d’assurer la stabilité de la plateforme et de répondre aux nouveaux enjeux business.

Vos interviendrez donc sur les thématiques suivantes :

Analyses des besoins d’évolutions
Contribution aux projets techniques et aux sujets de performances
Participation aux projets de refonte
Réalisation des évolutions IT et fonctionnel
Participation à la maintenance de l’outil et à la stabilisation de l’application
Rédaction du code de qualité (réalisation de tests unitaires, revues de code par des pairs, optimisation des ressources)
Utilisation et amélioration du processus d’intégration
Rédaction de la documentation technique

Environnement technique : JAVA 8, Spring, Spring Boot, Angular, Git, Jira
Environnement méthodologique : AGILE SCRUM

Livrables attendus :

Développements des évolutions et maintenance corrective
Conduite de tests unitaires,
Support technique durant les recettes,
Communication avec la MOA
Préparation et suivi des mises en production.

Nous cherchons des consultants talentueux et ambitieux, prêts à relever ce défi dans un contexte exigent et international (sans oublier la joie de vivre et la bienveillance)."
Groupe Nexeo ;http://www.nexeo.fr/;188;Consultant Webmethods H/F;CDI ;;Bac +5 / Master;> 1 an;;"Pour Le Compte D’un Client Grand Compte, Nous Recherchons Un Consultant Webmethods Ayant au minimum un an d’expérience

Il aura les tâches suivantes :

Dans un contexte Agile, en tant que Consulatnt Webmethods, vous aurez l’opportunité de construire des solutions innovantes :

Participer à la conception technique des solutions jusqu’à leur mise en production et leur maintien en condition opérationnelle sur nos cibles Cloud (PaaS, IaaS)
Participer à la migration des flux et web Service WebMethods de la 9.7 à la 10.3 et depuis la CoreIt vers le cloud privé
Concevoir des web services SOAP et APIs REST à forte valeur ajoutée métier, en collaboration avec les architectes ou en faisant évoluer les web Services existant :
Utiliser la plateforme SOA du client basée sur Webmethods - ESB de SoftwareAG
Respecter les patterns co-construits avec les équipes d’architecture
Profiter de l’environnement pluridisciplinaire de votre tribu pour apprendre de nouvelles compétences
Respecter les bonnes pratiques du clients et être force de proposition pour les renforcer (Processus de validation qualité, tests d’intégration, atelier, maitrise de la dette technique, …)

Livrables attendus

Voici un ensemble non exhaustif de livrables que vous pourrez être amené à produire:

Retour expérience projet
Estimation de charges
Etude faisabilité
Revue de configuration et des livrables
Revue de code (en groupe ou en pair)
Dossier d’architecture technique
Dossier d’exploitation des flux
Modélisation fonctionnelle
Post-Mortem en cas d’incident
Développement Webemethods et JAVA
Développement d’outillage"
Matters;http://matters.tech/;189;Développeur Full Stack JS Senior;CDI ;;Bac +5 / Master;> 4 ans;;"Le Job !

Livrer du code de qualité qui implémente les besoins métier
S’assurer du bon fonctionnement de ton application en production
Tenir le périmètre du projet
Ecrire des tests unitaires, d’intégration et fonctionnels
Déployer de manière autonome
Ecrire du code pour une compréhension business plutôt que technique.
Donner de la vision et accompagner les choix techniques et architecturaux de l’équipe
Participer à la montée en compétence de l’équipe : partager les bonnes pratiques et retours d’expériences, faire du feedback et du code review.
Faire ce qui est bien pour le produit en challengeant les idées des porteurs de projets
Être intéressé par le développement mobile hybride"
Matters;http://matters.tech/;190;Développeur(se) Full-Stack JS;Stage (6 mois);;Bac +5 / Master;> 6 mois;;"Le job !

En tant que développeur(se) full-stack, ton quotidien sera de travailler sur le produit de l’un de nos clients, en lien avec l’équipe produit, pour fournir la meilleure expérience à l’utilisateur final..

Tu seras amené(e) à :

Livrer du code de qualité qui implémente les besoins fonctionnels
Implémenter des tests unitaires et d’intégration
Rechercher constamment LA meilleure manière de faire et challenger les idées des porteurs de projets
Assurer le respect des conventions des projets et des méthodes et process définis au sein de l’équipe
Participer à la montée en compétence de l’équipe : partager les bonnes pratiques et retours d’expériences, faire du feedback et du code review

Rassure-toi, on t’aidera pour la mise en route et on te donnera les moyens de réussir. Tu démarreras sur un projet d’onboarding pendant 3 semaines pour bien prendre en main les méthodes de travail et les technos que nous utilisons.

Ce sera pour toi un excellent moyen de monter rapidement en compétences sur ces technologies et de maîtriser le workflow général et les bonnes pratiques de Matters : review de code, pair programming et gestion du code avec Git entre autres…"
Matters;http://matters.tech/;191;Développeur Web Front-End Senior;CDI ;;Bac +5 / Master;> 5 ans;;"Le job :

Livrer du code de qualité qui implémente les besoins métier
S’assurer du bon fonctionnement de son application en production
Tenir le périmètre du projet
Ecrire des tests unitaires, d’intégration et fonctionnels
Ecrire du code pour une compréhension business plutôt que technique.
Donner de la vision et accompagner les choix techniques et architecturaux de l’équipe
Participer à la montée en compétence de l’équipe : partager les bonnes pratiques et retours d’expériences, faire du feedback et du code review.
Faire ce qui est bien pour le produit en challengeant les idées des porteurs de projets"
Matters;http://matters.tech/;192;Tech Lead JS;CDI ;;;;;"Le job !

Endosser le rôle de Tech Lead chez Matters, c’est savoir architecturer un projet depuis sa conception et s’assurer que l’implémentation est cohérente. C’est être moteur dans la montée en compétence de ton équipe pour la rendre autonome et être le garant du bon niveau de qualité.

Au quotidien tu es le référent technique sur 1 à 2 équipes de 2 à 4 personnes. Tu les accompagnes au jour le jour sur l’avancement du produit et leur progression. Tu mets en place l’archi et aide l’équipe à se l’approprier. Tu interagis avec les équipes conception produit dans la définition des besoins et la planification des étapes de développement.
Sur le long terme tu cherches à rendre les équipes autonomes.

Tes responsabilités :

Faire progresser techniquement les gens autour de toi
Mettre en place des actions permettant d’améliorer la vélocité de l’équipe
Définir le niveau de qualité adéquat pour les projets et s’assurer que l’équipe le tienne
Gérer la dette technique et architecturale, du code legacy et de l’obsolescence
Capitaliser au sein de l’équipe et de Matters
Faire reconnaître l’excellence technique en dehors de Matters

Tes skills :

Maîtriser un framework ou librairies Javascript : React, Nodejs, Typescript, Webpack…
Savoir vulgariser des concepts complexes
Appuyer des stratégies de test et de déploiement
Partager les bonnes pratiques et retours d’expérience avec les autres équipes
Donner de la vision et accompagner les choix techniques et architecturaux de l’équipe
Trouver et évaluer des solutions techniques face à des besoins ou problématiques et les mettre en oeuvre
Réaliser des études et audits techniques"
Matters;http://matters.tech/;193;Développeur(se) Back-End JS;Stage (6 mois);;Bac +5 / Master;> 6 mois;;"Le job !

En tant que développeur(se) back-end, ton quotidien sera de travailler sur le produit de l’un de nos clients, en lien avec l’équipe produit, pour fournir la meilleure expérience à l’utilisateur final..

Tu seras amené(e) à :

Livrer du code de qualité qui implémente les besoins fonctionnels
Implémenter des tests unitaires et d’intégration
Rechercher constamment LA meilleure manière de faire et challenger les idées des porteurs de projets
Assurer le respect des conventions des projets et des méthodes et process définis au sein de l’équipe
Participer à la montée en compétence de l’équipe : partager les bonnes pratiques et retours d’expériences, faire du feedback et du code review

Rassure-toi, on t’aidera pour la mise en route et on te donnera les moyens de réussir. Tu démarreras sur un projet d’onboarding pendant 3 semaines pour bien prendre en main les méthodes de travail et les technos que nous utilisons.

Ce sera pour toi un excellent moyen de monter rapidement en compétences sur ces technologies et de maîtriser le workflow général et les bonnes pratiques de Matters : review de code, pair programming et gestion du code avec Git entre autres…"
Matters;http://matters.tech/;194;Développeur(se) Front-End;Stage (6 mois);;Bac +5 / Master;> 6 mois;;"Le job !

En tant que développeur(se) front-end, ton quotidien sera de travailler sur le produit de l’un de nos clients, en lien avec l’équipe produit, pour fournir la meilleure expérience à l’utilisateur final..

Tu seras amené(e) à :

Livrer du code de qualité qui implémente les besoins fonctionnels
Implémenter des tests unitaires et d’intégration
Rechercher constamment LA meilleure manière de faire et challenger les idées des porteurs de projets
Assurer le respect des conventions des projets et des méthodes et process définis au sein de l’équipe
Participer à la montée en compétence de l’équipe : partager les bonnes pratiques et retours d’expériences, faire du feedback et du code review

Rassure-toi, on t’aidera pour la mise en route et on te donnera les moyens de réussir. Tu démarreras sur un projet d’onboarding pendant 3 semaines pour bien prendre en main les méthodes de travail et les technos que nous utilisons.

Ce sera pour toi un excellent moyen de monter rapidement en compétences sur ces technologies et de maîtriser le workflow général et les bonnes pratiques de Matters : review de code, pair programming et gestion du code avec Git entre autres…"
